asin,description,title,price
10,"FRIEQ Aluminum Home Button Sticker perfectly protect your iPad, iPhone, iPod from scratch and dirty. And it's designed to give an unique look of your Apple product. Our Home Button Sticker is made with 100% real aluminum, high quality and lightweight. It's made with diamond cutting on the edge so that he home button shines at different angles. It's easy to stick on the home button and also easy to remove by peeling.This package includes 4 colors (black/silver/purple/blue) for you to choose.","FRIEQ&reg; ST1 Aluminum Home Button Sticker Comes With Black, Silver, Blue, Purple For iPhone 5 / 4s / 4, iPad, iPod Touch",9.99
11,"SPIGEN SGP Slim Armor case for the iPhone 5/5S is specifically designed to protect the iPhone 5/5S at all angles. The TPU case features improved shock absorption on the top, bottom, and corners to effectively protect the iPhone 5 from external impact. Slim Armor is double layered with a TPU case and a polycarbonate hard case to provide additional protection in a form-fitted design. The polycarbonate midsection has a metallic finish and can be removed from the TPU. This allows the Slim Armor to be interchanged with different colors. The case fits precisely onto the iPhone 5/5S for a natural and sleek look, and the speaker opening is specifically designed to fully utilize the speaker without reducing sound quality. The polycarbonate midsection has a matte finish coating design to provide the best grip with a soft touch. Slim Armor is designed to highlight the two-toned colors and structural edges of the back of iPhone.","iPhone 5 Case, Spigen Slim Armor Case for iPhone 5S/5 - 1 Pack - Retail Packaging - Metal Slate (SGP10088)",14.99
12,,"Incredicharge I-10 External Battery Pack High Capacity Charger 10400 mAh Capacity With Dual USB output for Samsung Galaxy S4 S IV S3 S2 S 2 II Apple iPhone, iPod Touch, Motorola Atrix 2, Droid 3 X X2 Razr HD Maxx, Bionic, Triumph, Nokia Lumia and GoPro Cameras, Comes W/Built-in Micro USB Cable",17.95
13,"When you need a raincoat to venture out into a storm why expose your expensive smartphone to the elements all by itself? The FRIEQ Universal Underwater Case acts as a barrier between the phone and the environment protecting it from liquid spills and even preserving its functionality under water!Protection Guaranteed Even UnderwaterNever again have to worry of losing your important phone data due to liquid seepage. Be it rain, a quick dip in the sea or a sauna session, the FRIEQ Universal Waterproof case will keep your phone safe, sound and dry - IPX8 certified to 100 feet or 30 meters.Unhindered ViewJust because your phone is enclosed in a waterproof case doesn't mean that it can't be accessible. With Crystal Clear windows to both sides, taking videos and pictures is no different than without the case. Designed to allow touchscreen functionality, touch and type away on your phone even while underwater!Snap Lock MechanismEasy to use, this waterproof case features a simple snap locking access that can quickly seal your precious smartphone before the storm sheds its weight.Universal DesignCompatible with all touch phones, it works with the latest high end devices such as iPhone 5, 5C & 5S, HTC One/One X/X+, Note 2, Note 3, Nexus 4, Droid Incredible, Droid DNA, Windows Phone 8X, Nokia Lumia and Samsung Galaxy S5, S4, S3 and more. Will easily accommodate any smartphone under 5.3"".","FRIEQ Universal Waterproof Case for Apple iPhone 5s, 5, Galaxy S5, S4 S3, HTC One X, Galaxy Note 3, 2 - IPX8 Certified to 100 Feet",9.99
14,"FRIEQcleaning pad is made of premium microfiber material, effectively removes fingerprints and residue from the screen without using a cleaning solution.Soft, comfortable and scratch-resistant that is safe to use on the screen.It works with the ipad, iphone, lcd, cell phone, Mp4, PSP and all touchscreen devices.Reusable cleaning pad to help effectively remove fingerprints and residue from the screen, and it is sized perfectly, easy to grip and use.","FRIEQ&reg; Premium Microfiber Cleaning Pads for Ipad, Iphone, Lcd, Cell Phone, and Touchscreen Devices (3 Pack)",4.71
15,"FRIEQWide Grip Capacitive Stylus, designed sleek, stylish, and functional is compatible with all capacitive touch screens, just like iPad, iPhone, Kindle Fire, Galaxy Tab and so on.It is made from premium aluminum with a soft touch pen-point for better screen-protection, was created to be compact and durable.Precise touch and control, easily avoid pressing the wrong keys even if you are wearing gloves.One-Year Limited Warranty",FRIEQ Wide Grip Capacitive Stylus Pen for Touchscreen Devices,9.99
16,,"uNu Power DX External Protective Battery Case for iPhone 5s / iPhone 5 - MFI Apple Certified (Matte Black, Fits All Models iPhone 5S &amp; iPhone 5)",59.9
17,"Yubi Power High capacity power bank is Produced with the highest standards and quality in mind. Intelligent circuitry provides safe and efficient charging. Top quality high tech battery cells with protection board, ensures long life and protection against over charge, over voltage, over current, and short circuit protection. Intelligent LED shows the current power level. This power bank is ideal for most digital devices with DC5V input, such as iPhone, iPad, Smartphones, PSP, Mp3, GPS, Amazon kindle, Google Nexus, etc. Specs, Average Charging time for iPhone's are 1.5 hrs., Input Charging Time 9 hrs., Life Cycle greater than 500 Times, Input: DC 5V, Output: DC 5V 2.1A, Dimension: 100x60x24mm, Battery capacity: 8400mAh Compatible with Most Cell Phones: Apple: iPhone 4S/iPhone 4/iPhone 3GS/iPod touch/classic/Nano/iPad/iPad 2 [OEM Cable Required] HTC: Sensation XE XL/Thunderbolt/EVO 3D/EVO 4G/Incredible S/Evo Shift 4g. Samsung: Galaxy S 2/Epic 4G/Galaxy S 4G/Galaxy Nexus .Blackberry: Curve/Storm 2/Tour Style/Bold . Motorola: Atrix/Bionic/Droid X, X2, 2, 3, 4, Pro, R2D2/triumph. Nokia: N900/N8/N97/C6/C3 C7/E7/X6 .LG: Optimus, 2x, V, S, T/Quantum/Vortex . Sony: Xperia ARC Arc/Neo/Play/Mini. Amazon: Kindle Fire, and all other kindles, Others: Nook Color, NDS, Portable Wi-Fi, PSP. etc. Package Includes: 8400mAh Yubi power bank, User Guide 30 pin connector for Apple devices, Micro/mini usb connector, 2 Usb ports.",Yubi Power YP840A 8400mAh Portable Power Bank Backup External Battery Charger for iPhone 3/4/5 and Samsung Galaxy 2/3 (Black),29.99
18,"Easily charge your USB powered devices such as your iPad, iPod, iPhone, 
Samsung, Android, cellular phones, MP3 players, PDAs and GPS. This charger 
allows for two of your devices to be simultaneously charged.Specs:- Average Charging time for iPhones 1.5 hrs- Input Charging Time 5 - 6 hrs- Life Cycle &gt; 500 Times- Input: DC 5V / 1000mA- Output: DC 5.3V / 2600mA (Dual USB: 0.6A+2A=2.6A)Compatible with Most Cell Phones:Apple:iPhone 5 /4S/4/3GS/3G ipod touch/classic/nano, iPad 1/2/3/4, iPad 
Mini (Support All iPad/iPhone/iPod Models)HTCSensation XE XL / Thunderbolt / EVO 3D / EVO 4G / Incredible S / Evo 
Shift 4g ...SamsungGalaxy S 2 / Epic 4G / Galaxy S 4G / Galaxy Nexus ...MotorolaAtrix / Bionic / Droid X , X2, 2 , 3, 4, Pro , R2D2 / triumph 
...NokiaN900 / N8 / N97 / C6 / C3 C7 / E7 / X6 ...LGOptimus , 2x , V , S , T / Quantum / Vortex ...SonyExperia ARC Arc / Neo / Play / Mini ...AmazonKindle Fire, and all other kindles ...OthersNDS, Portable Wifi, PSP(NOT compatible with PSP vista)Package Includes:&nbsp;- iFlash 8400mah Battery Pack- User Guide- AC Wall Charger- Two Charging cables w/ 5 connectorsBuy with Confidence1 Year Limited Replacement Warranty","iFlash Dual USB 8400mAh 2.6A Heavy Duty Output External Battery Pack Charger for Smart Phones, Android Phones, iPhones, iPads, Galaxy, HTC, Nokia, Motorola and various other smartphones - Black Color, Retail Package",26.99
19,"Intocircuit - Expert in Circuit DesignIntocircuit, devoted to the design and manufacture of consumer electronic gadgets, always keeps up with the latest state-of-the-art innovations. To keep your portable digital devices portable, Intocircuit proudly release our power bank product series with top-quality and high-reliability.Specifications:-Model: Intocircuit Travi Series T5000-Capacity: 5000mAh-Input: 5V 1A A full charge takes 5.5-6 hours.-Output: USB 5V 1A-Size: 97*44*23mm-Net Weight:122gBattery Life Extension:-2 full charges to iPhone 4S 4 3G-1-2 full charges for Samsung Galaxy S3-2-3 full charge for other mobile phonesSecurity Protection:Multiple safety protection mechanisms: protection against overcharge, overload, overvoltage, over-current, and short circuit.Popular Compatible Models:(Not a full list)-LG: Nexus 4, Optimus..-Nokia: N9/Lumia800/900/920..-Kindle/ Google Nexus 7 / Kindle Fire .-Motorola:Atrix 2/ Droid X/Triumph/Droid 3/Razr .-Samsung:Galaxy S3/Galaxy Note 2/Galaxy S ii/Galaxy note..-HTC: One S/X/XL/Sensation 4G/XE/ EVO 4G/Inspire 4G..-Apple:iPhone 5/iPhone 4/4S/iPhone 3GS/ipod touch/iPad 2/new iPad[Lightning Cable is not included]-Others: Blackberry Bold 9900 / Sony Ericsson Xperia Arc SPackage includes:1* T5000 Power Bank6* Connectors for most phones1* Charge cable1* Handy carry pouch1* User manual","Intocircuit T5000 5000mah External Battery Pack High Capacity Power Bank Charger for Apple: Ipad Mini, Iphone 5s, 5c, 5 (Lightning Cable Not Provided)/iphone 4s, 4 3gs 3g Ipad 2, Ipod Touch; Most Android Phones: Samsung Galaxy S3 I9300 S2 S Ii I9100, Galaxy Nexus, Galaxy Note 2; HTC Sensation, One X V One X V S, EVO 4g, Thunderbolt; Nokia Lumia 920 900 N9; Motorola Razr; Lg Optimus; Psp; [Built-in Flashlight, 6 Connectors, 1 Charging Cable, Handy Carry Bag Included with 12 Month Warranty]",19.99
20,"Bolse4 Port USB Wall/Travel/AC Rapid Charger (4 Amps / 20Watt / Fastest Speed) is designed to charge multiple power hungry tablets, phones, power banks and other USB devices (GPS, bluetooth headset, portable Wifi, MP3 players, 3D Glasses etc) at fastest possible speed.This charger charges tablets at 2 Amps and most phones at 1 Amps current.
This results in fastest possible charging of your device.USB Ports:Port 1 & 2(Universal): Designed based on latest USB charging standard and will charge almost all devices including Apple & Android devices.Port 3(Universal/iDevice Legacy): This port will also charge most devices (including iPad) but this port has support legacy/old Apple devices. If you face any problem charging your Apple devices with Port 1&2, please use this port.Port 4(Universal/Samsung Optimized): This port is specifically designed to charge Samsung devices(e.g.Samsung Tab). Many other phones can be charged as well using this port. Note that this port will not charge iPad.One-Year Limited Warranty","Bolse&reg; 4 Port Premium High Output USB Wall/Travel/AC Rapid Charger (4 Amps / 20Watt / Fastest Speed) For iPhone, iPad, Samsung Android Smartphones - Black",19.99
21,,DinoTwin T1 Premium Sport Bluetooth Wireless Stereo Headphones - Black/Red,64.16
22,"The design and quality is what stands out with this Hipo By Ivation Battery Pack, it is sleek, stylish, trendy and built to last! It has a 1A USB charging slot and can charge any device that charges VIA USB. However it only includes a MICRO USB cable so you will need a OEM Cable to charge any device that does not charge VIA MICRO USB. The 4 blue LED status indicators let you know how much charge power is remaining--when all four blue LEDs are on, you've got a full battery, and are ready to go! Charging times for devices depend on individual specifications.Compatible with Most Cell Phones:Apple:iPhone 5 4S 4 3 3GS / ipod touch/classic/nano/ iPad/ iPad 2(OEM Cable Required)HTCOne X V S / Sensation XE XL / Thunderbolt / EVO 3D / EVO 4G / Evo Shift 4gSamsungGalaxy S3 S2 / Note 1 2 / Epic 4G / Galaxy NexusBlackberryCurve / Storm 2 / Tour Style / BoldMotorolaDroid Razr Maxx / Atrix / BionicNokiaN900 / N8 / N97 / C6 / C3 C7 / E7 / X6LGOptimus , 2x , V , S , T / Quantum / VortexSonyExperia ARC Arc / Neo / Play / MiniAmazonKindle Fire, HD, DX and all other kindlesOthersNook Tablet, Color, NDS, Portable Wifi, PSP(NOT compatible with PSP vista)Specs:- Average Charging time for iPhones 1.5 hrs- Input Charging Time 5 - 6 hrs- Life Cycle &gt; 500 Times- Input: Micro USB 5V/1000mA(Max)- Output: USB 5V/1A (5W)Package Includes:EB-5200 Battery PackUser GuideMicro USB cable","Hipo By Ivation CS-5200 5200mAh (5V/1A output) Portable Power Bank External Backup Battery and Charger for all iPhones, iPods, iPads, phones, Smart Phones, Cambers, and any Electric item that Charges VIA USB",19.95
23,"The Aleratec Tunephonik iMX5 premium in-ear headset is packed with features without compromising design, ergonomics, or comfort.Using only premium quality drivers, it is capable of producing high fidelity acoustic sound and precise bass allowing listeners to enjoy soothing melodies, feel the ground-shaking rumble of an action-packed movie or just jam to their favorite music.The value-added in-line microphone filters out external noise, making it possible to communicate safely and with clarity. Conveniently designed access control buttons makes switching between phone calls and your favorite music a breeze. An L-shaped 90 degree 3.5mm jack and flat cord provides the exceptional durability for regular usage.Aleratec's top priority is to ensure that you are 100% satisfied with your purchase. This product comes with an ironclad 1-Year Limited Warranty. If you have any questions or issues, let us know. We'll do our best to give you the service you deserve.",Aleratec TunePhonik iMX5 In-Ear Headphones 3.5mm Premium Stereo Headset with In-line Microphone,19.99
24,"Bolse3.1A Dual USB Port High Output Car Charger easily charges your iPad, iPhone, iPod, HTC, Blackberry, MP3 Players, Digital Cameras, PDAs, Mobile Phones. This charger allows for two of your devices to be simultaneously charged while utilizing only one of your car's 12v DC power sockets. Charging will be automatically stop when battery is full.This charger charges tablets at 2 Amps and most phones at 1 Amps current.
This results in fastest possible charging of your device.Compatible:Port 1 (labeled as 1.0 Amp): Designed based on latest USB charging standard and will charge almost all devices, including iPhone / iPod Touch and other phones / GPS / Tablet etc.Port 2 (labeled as 2.1 Amp port): iPad, iPhone / iPod Touch and Others phones / GPS / Tablet etc. (May not support charging / or slow charging with some devices.)One-Year Limited Warranty",Bolse&reg; 3.1 Amp Dual USB Port High Output Car Charger 15w - Black,19.99
25,"About Maxboost Electron:Featuring an advanced percentage digital display window, the Electron is the most user-friendly extended battery on the market. Made to power, the Electron is equipped with a heart-pounding 10000mAh battery capacity which can re-charge even the most energy-demanding devices.Popular Compatible Models:Apple:iPhone 5S/5C/5, 4S/4/3GS/3G, iPad Air mini 1 2 retina, iPad 1/2/3/4(Original Apple Cable Required but not included)HTC:One M8/M7/M4 Mini X and MoreSamsung:Galaxy S5/S4/S4 mini/S3/S3 mini/Note 3/Note 2 and MoreMotorola:Moto G X / Droid Maxx RazrLG/Google:Nexus 4/5/7/10 Optimus G1/G2/G Flex / G Pro 2Nokia:X X+ XL / Lumia 520 521 920 921Others:Blackberry Torch Curve 9900 9360 / Sony Ericsson Xperia Arc S, X10 / PS Vita / MP3 MP4/ GoProNote: Electron will not work with ASUS TabletsElectron Specs:-Add 400~500% to smartphones, 300~400% to large screen phones, 80%~120% to tablets-Input: 5V / 2A (max)-Output: 5V/1A + 5V/2.1A-Size: 4.25 x 2.8 x 0.8 inch; Weight: 8.2 ounce-Recharge time: 6-8h via 1A USB wall charger (No AC charger is included, but product works with any USB wall charger. Note that significantly longer recharging time is expected if adapter output less than 1A)-Bonus Accessories: Carrying Pouch, MicroUSB / MiniUSB connectors","Maxboost Electron 10000mAh Dual-port 3A Premium USB Portable External Battery Pack Backup Extended Power Case Charger for Samsung Galaxy S5 Prime;iPhone 5S 5C 5 4S 4 6 Air; iPad Air 5 4 Retina 3 2 1,iPad Mini Retina 1 2;Amazon Fire Phone;Google Nexus 5 4 7 8 FHD 2;Samsung Z,Galaxy Note 4 3,Galaxy S5 S4 S3 Active,Tab 4 3 7.0 8.0 10.1 S 8.4 10.5;All New HTC One M8/ACE M7 Mini M4;LG Optimus G3,G2,G Flex,G Pro 2,G2 Mini;G Pad;Nokia;Moto E X;Sony Xperia Z2(a.k.a Smartphone Battery Cable Car Charger)",32.99
26,"iFlash&reg; Ultra Slim is a line of portable external batteries designed for our 
modern mobile age. High capacity power and compact designs make these batteries 
a reliable power companion on the go.Popular Compatible Models:Apple:iPhone 5 / iPhone 4S, 4, 3GS / iPod(OEM cable required)HTC:One X, S, V / Sensation, Sensation XE XL / EVO 4G / Radar 4G / 
Inspire 4G / Vivid 4G / Wildfire S / ThunderBolt / Incredible 2 S / Rezound / 
Desire X, C, V, HD, S, ZSamsung:Galaxy S4, S3, S2 / Galaxy Note 2 / Galaxy S2 I9100 / Galaxy S 
I9000 / Verizon Galaxy S3 I535 / AT&amp;T Galaxy S3 I747 / Sprint Galaxy S3 L710 / 
T-Mobile Galaxy S3 T999 / T-Mobile Galaxy S2 T989 / AT&amp;T Galaxy S2 I777 / AT&amp;T 
Galaxy S2 Skyrocket SGH-I727 / Galaxy Nexus / Galaxy Note / Focus S / InfuseMotorola:Droid Razr, Bionic / Atrix 2 / TriumphLG:Nexus 4, Optimus 4X, 2X, V, S, T, 3D, 7Nokia:Lumia 920 900 710 800 / N8 / N9Others:Blackberry Torch Curve 9900 9360 9320 / Sony Ericsson Xperia Arc 
S, X10 / PSP / MP3 MP4 MP5 / GoProPlease Note:Please use your OEM cable for iPhones and iPodsBattery Spec:-- Performance for iPhones: 100% battery life-- Input: 5V / 1A-- Input charging time: 5-6h via Standard USB or AC adapter (not included)-- Output: USB 5V 0.6A-- Size: 4.17 x 2.24 x 0.4 inches; Weight: 3.2 ounce-- 1 Year Warranty","iFlash&reg; Ultra Slim 3200mAh Portable Power Bank Backup External Battery Charger with Embedded Micro-USB and Flashlight for iPhone 5 4S 4 3GS, iPod (OEM CABLE REQUIRED for Apple); Android Smartphones: HTC Sensation, One series, EVO 4G / Samsung Galaxy S4, S3, S2, Galaxy Note 2 / Motorola Razr/ LG Optimus 4X / Blackberry Z10 / Sony Xperia Z, PSP, and Many More Mobile Devices - Black [Ultra Slim 0.4 Inch Profile]",16.99
27,"Extra Battery Life Added:iPod:Up to 7.2 hours of video playingiPhone:Up to 8 (3G)/ 16(2G) hours of battery lifeiPad:Up to 2.5 hours of video playingMobile Phones:Up to 16 hours of battery lifeCompatible models:Apple:iPhone 4S (AT&T;, Verizon, Sprint) / iPhone 4 (AT&T;, Verizon) / iPhone 3GS / iPod Touch Classic NanoHTC:One X / One S / T-Mobile Sensation 4G / Sensation XE XL / Radar 4G / EVO 3D 4G / Inspire 4G / Vivid 4G / Wildfire S / ThunderBolt / Incredible 2 S / Rezound / Desire HD S ZSamsung:I9000 / Galaxy S3 S III I9300 / Verizon Galaxy S3 S III I535 / AT&T; Galaxy S3 III I747 / Sprint Galaxy S3 III L710 / T-Mobile Galaxy S3 III T999 / Galaxy S II I9100 / T-Mobile Galaxy S II T989 / AT&T; Galaxy S II I777 / AT&T; Galaxy S II Skyrocket SGH-I727 / Sprint Galaxy S II Epic 4G Touch / Galaxy Nexus Prime / Galaxy Note / Focus S / InfuseMotorola:Atrix 2 / Triumph / Photon 4G / Verizon Droid 3 X X2 Bionic RazrLG:Vortex / Revolution / Quantum / Thrill 4G / Rumer Touch / P500 / GT540 / GW620 / GX500 / KP500 / Optimus V S T 2X 3D 7Nokia:N900 / N9 / N8 / N97 / C6 / C3 / E71 / E72 / Lumia 900 800Amazon:Kindle Fire / Kindle SeriesOthers:Blackberry Bold 9900 / Sony Ericsson Xperia Arc S / 3G 4G mobile WIFI hotpot / PSP / Nook Color / MP3 MP4 MP5 / GoProPackage IncludesYubi Power YP250AS 2500mAh external battery2.0 USB to Micro USB Charging CableTraveling Pouch",Yubi Power YP250AS 2500mAh Ultra Compact Lipstick Size Portable Power Bank Backup External Battery Charger - [Stylish and Tiny 3.70 x 0.86 x 0.86 inch Dimensions] (Silver),12.99
