,asin,description,title,price
10,10,,"Stash Tea Fusion Red, White &amp; Blueberry Tea, 18 Count Tea Bags in Foil (Pack of 6)",24.51
11,11,"Adolph Levis sold pickles, relishes, sausages, and other popular snacks and condiments from his basement in Philadelphia during the Great Depression. But these foods just weren't the easy, spicy treat that bar patrons craved. Levis experimented with different ways to serve sausages, eventually experiencing a Snap moment of his own when he developed a cured beef sausage that would curb consumers' cravings. Printed on the jars the beef sticks were sold in was a little tuxedoed man, complete with top hat and cane. Levis named him ""Slim Jim,"" and the now-famous spicy snack was born. Early advertisements for Slim Jim touted ""the ready-to-eat spiced sausage treat"" that was packed in cellophane and sold for a dime.Today, Slim Jim produces 533 million meat snacks a year, enough to circle the Earth 2.7 times. That's 21 million pounds of meat snacks annually.About ConAgraSlim Jim is a member of the ConAgra Foods family, one of the largest packaged foods companies in North America with major presence in retail outlets, foodservice and restaurants, and in ingredients. Their more than 70 brands--which include favorites such as Pam, Hunt's, Healthy Choice, Butterball, Wesson, Swiss Miss, Rotel, Peter Pan, Marie Callender's, Hebrew National, Wolf Brand Chili, Rosarita, Egg Beaters, Chef Boyardee, and more--are in 96% of U.S. households, and more than 30% of ConAgra Foods brands are number one in their category.","Slim Jim Giant Smoked Snacks, Tabasco, 0.97-Ounce Sticks (Pack of 24)",21.15
12,12,,"thinkThin Chocolate Fudge, Gluten Free, 2.1-Ounce Bars (Pack of 10)",12.28
13,13,,"thinkThin Chocolate Espresso, Gluten Free, 2.1-Ounce Bars (Pack of 10)",14.94
14,14,"Annie Chun was born and raised in Seoul, Korea, and came to Northern California as a young adult, where her family owned and operated a top-rated Korean restaurant in San Francisco.Annie began selling her signature Asian sauces at the Marin County Farmers' Market in the early '90s. It wasn't long before her loyal customers began to encourage her to start her own company and package the products for the retail market. So, in 1992, with $500 and a lot of help from friends and family, she founded Annie Chun's Gourmet Foods. Her goal was to deliver healthy, authentic Asian foods to Western consumers, and to make Asian cooking ""as easy to prepare as spaghetti"" for Americans. Many of her products are based on traditional recipes that have been part of her family for generations.In 1997 Annie moved beyond Asian sauces, introducing the first line of specialty Asian pastas produced in the United States. Her award-winning products are now distributed throughout North America and in some parts of Europe.Annie lives with her husband and two children in Northern California.","Annie Chun's Miso Soup Noodle Bowl, 5.9-Ounce Bowls (Pack of 6)",9.58
15,15,"Tazo teas are made from the most extraordinary teas and herbs found anywhere, and they're blended with an artistry that borders on magical. Tazo Lotus Tea is a delightfully subtle green tea with the delicate taste and aroma of lotus flower essence. This surprisingly full-flavored yet delicately floral blend is clean and light-bodied, with an aroma reminiscent of freesia.","Tazo Lotus Green Tea, Decaffeinated, 20-Count Tea Bags (Pack of 6)",28.26
16,16,"In 1981, Green Mountain Coffee Roasters hung its shingle on the front of a small cafe in Waitsfield, Vermont. This cafe roasted coffee on the premises and formed the base of operations for what was to become one of the nation's leading specialty coffee companies.The demand for high-quality, freshly roasted coffee soon grew beyond the cafe's walls. Restaurants and inns in the area asked for coffee and equipment. Green Mountain Coffee Roasters was soon in the wholesale business to satisfy these requests. Before long, skiers asked if the cafe could send Green Mountain Coffee to their homes in New York, Florida, Pennsylvania, or Connecticut. This demand was filled by the birth of the company's mail-order business.Green Mountain Coffee's Committment""Green Mountain Coffee Roasters is about more than making coffee, we are about committment. A committment that every sip will reflect our passion for the art of roasting coffee. We will always strive to protect the ecosystems where our coffees are harvested, and that you will always be completely satisfied with our products.""","Green Mountain Coffee Dark Magic (Extra Bold), K-cups For Keurig Brewers, 24-count Box",18.5
17,17,"Kids will love the fun shapes in every box of this delicious macaroni and cheese. Kraft Spiral Shapes Macaroni and Cheese Dinner makes a tasty, nutritious meal or side dish full of cheesy flavor. Easy to prepare, Kraft Spiral Shapes Macaroni and Cheese Dinner is also an excellent source of calcium and iron.","Kraft Macaroni &amp; Cheese Dinner, Spirals, 5.5-Ounce Boxes (Pack of 24)",48.44
18,18,,"Planters Peanuts, Lightly Salted, Dry Roasted, 16-Ounce Jars (Pack of 12)",53.53
19,19,"Planters began as a vision in the mind of a young Italian immigrant named Amedeo Obici. Little did he know that the small business he began in 1906 would grow into the world's grandest nut company.Planters ad, 1949Obici, along with his friend and business partner Mario Peruzzi, founded Planters Peanut Company in Wilkes-Barre, Penn., in 1906. Seven years later, Obici built his first processing plant in Suffolk, Virginia. Mr. Peanut didn't come along until 1916, when a schoolboy named Antonio Gentile submitted his sketch to win a Planters contest for a brand icon. A commercial artist later added a top hat, monocle, and cane. The company's first ad, appearing in the Saturday Evening Post in 1918, was also the first for a salted nut. The hugely popular dry-roasted version of Planters peanuts made its debut in 1962. Later introductions have included unsalted and roasted peanuts, Planters Trail Mix, Honey-Roasted Peanuts and Cashew Mix, and more recently, NUTrition. For more than 100 years, Planters has built a reputation and a powerful brand by offering superior quality and product innovation.Planters is a member of the Kraft family of brands.About KraftKraft has come a long way since 29-year-old James L. Kraft moved from Ontario, canada, to Chicago and started selling cheese to grocers from a horse-drawn wagon. In fact, the story dates back further, since for more than 200 years, many companies have united to make Kraft Foods what it is today. It started before the Revolution--in Dorchester, Massachusetts--when, in 1765, a local physician, Dr. James Baker, went into partnership with a young Irish chocolate-maker, John Hannon. It was America's first chocolate mill, where, in 1780, they made a blend of quality chocolate called Baker's chocolate. Baker's chocolate was the first of a long list of companies that have joined Kraft Foods, Inc., in making good food for busy families.In 1988, Kraft became part of Philip Morris Companies Inc., and a year later Philip Morris Companies combined Kraft and General Foods Corp. to form Kraft General Foods, the largest food company in the U.S. Some of the most popular and well-known brands in the Kraft family include Maxwell House, Yuban, Oscar Mayer, Breakstone, Grape-Nuts, Jell-O, Post, Minute Rice, Cheez Whiz, Cracker Barrell, Tang, Cool Whip, Shake 'N Bake, Stove Top, General Foods International Coffees, and many, many more.","Planters Cashews in Milk Chocolate, 3.5-Ounce Pouches (Pack of 12)",0.0
20,20,,"Splenda No Calorie Sweetener, 400-Count Packets",16.7
21,21,"Bob Moore's secret to life may just be ""work hard and keep it simple."" Living this philosophy, Bob literally puts his nose to the grindstone every day. Bob's Red Mill Natural Foods is an Oregon-based company that utilizes simple, old-world technology to mill hundreds of all-natural whole grain products.Bob's Red Mill is dedicated to the manufacturing of natural foods in the natural way. In their own words: ""With all the sophisticated knowledge of recent times, no machinery has yet been developed that grinds grains into flour quite as well as our flint-hard quartz millstones quarried in France and used by discriminating millers since early Roman times.""""Our well-dressed (sharpened) sets of millstones turn the highest quality wheat into a finer, better baking bread flour than all the hammer mills, steel roller mills, steel buhr mills, or pulverizers ever built! These slow turning millstones grind the bran, endosperm, and germ (containing its nutritious wheat germ oil) into flour in a cool natural way, creating a more assimilable food.""Bob's Red Mill stone grinds all common and most uncommon grains into flours and meals on its over 100-year-old mills. They mix them into an astounding array of unique cereals, pancake and waffle mixes, machine and hand-made bread mixes, quick bread mixes, gluten-free mixes, and specialty grain products.","Bob's Red Mill Organic Grain Quinoa, 26-Ounce Packages (Pack of 4)",57.5
22,22,"Wolfgang PuckFor more than three decades, Wolfgang Puck has come to represent the ultimate in the culinary arts and restaurant hospitality. The Austrian-born Puck began his formal training at age 14, inspired by his mother, Maria, a hotel chef. Encouraged by a friend, Wolfgang left Europe in 1973 at the age of 24, having already learned his craft as a classically trained French chef in the master kitchens of three-star French restaurants: the Hotel de Paris in Monaco, Maxim's in Paris, and L'Oustau de Baumaniere in Provence. After spending two years as chef at the restaurant La Tour in Indianapolis, Puck moved to Los Angeles and became both chef and part owner of Ma Maison, which quickly became a magnet for the rich and famous.After the 1981 publication of his first cookbook,Modern French Cooking for the American Kitchen, based on his popular recipes at Ma Maison, Spago, located in West Hollywood on the Sunset Strip, was an instant success and culinary phenomenon from its opening day in 1982. His first signature dishes--such as ""gourmet"" pizzas topped with smoked salmon and caviar and Sonoma baby lamb with braised greens and rosemary--put him and Spago on the Los Angeles foodie map. Over its popular 18 years, the original location of Spago earned many accolades, including the prestigious Restaurant of the Year award by the James Beard Foundation in 1994.Over a span of 20 years, an empire of Wolfgang Puck dining establishments has opened, including fine dining restaurants in Los Angeles, San Francisco, Las Vegas, Palo Alto, and Maui and casual dining and quick service restaurants in nationwide urban centers, airports, and supermarkets. In May 2000, Wolfgang Puck Worldwide, Inc., was established to manage global brand strategy across Wolfgang Puck's business activities in consumer packaged foods, cooking products, and other lines of products and media opportunities, including Wolfgang Puck's Soups, one of America's fastest-growing soups. Wolfgang's philosophy with his soups, which applies to everything he does, is straightforward. As he says, ""The recipe for all my soups is simple. The finest ingredients and lots of good, honest, old-fashioned love."" Wolfgang lives in Beverly Hills and has two sons, Cameron and Byron.","Wolfgang Puck Organic Hearty Garden Vegetable Soup, 14.5 Ounce Cans (Pack of 12)",40.64
23,23,"Roasted Almond Granola Bars blend almond pieces with rolled oats to make a crunchy, chewy snack. The bars are a completely natural energy boost that's high in fiber and protein but low in saturated fat. Whether you're exploring the outdoors or just need a quick burst of energy in your day, Roasted Almond Granola Bars provide an invigorating source of quality whole grain.","Nature Valley Crunchy Granola Bars, Roasted Almond, 8.9-Ounce Box (Case of 12)",51.48
24,24,,"Nature Valley Chewy Trail Mix Bars, Fruit and Nut, 6-Count Boxes, 7.4 Ounce (Pack of 12)",41.6
25,25,,"LARABAR Fruit &amp; Nut Food Bar, Apple Pie, Gluten Free1.6 oz Bars (Pack of 16)",21.99
26,26,"Haribo, founded in 1920 in Bonn, Germany by Hans Riegel, is one of the most prominent manufacturers of sweets (namely fruit gums, licorice, and foam) in the world. The company name is an acronym for ""Hans Riegel, Bonn"" and stands as a reminder of Haribo's continuing loyalty to early traditions. After Hans Riegel died during World War II, his son, also named Hans Riegel, took over the factory and expanded its operations, taking over many local confectionery manufacturers in countries all over the world. Currently, Haribo operates five factories in Germany and 13 throughout the rest of Europe. The company also has sales offices in almost every country in Europe as well as in the Unites States. Haribo's German catch phrase is ""Haribo macht kinder froh / und Erwachsene ebenso,"" which translates as ""Kids and grown-ups love it so / the happy world of Haribo.""","Haribo Gummi Candy Gold-Bears, 5-Pound Bag",14.99
27,27,"Fischer and Wieser Speciality Foods Company, a family-operated business, makes award-winning, gourmet sauces, jams, and jellies, including award-winning sauces such as the Original Roasted Raspberry Chipotle Sauce; Sweet, Sour, and Smokey Mustard Sauce; and Texas 1015 Onion Glaze. Founded by Mark Wieser and Case Fischer in Texas in 1969, the company calls a historic warehouse site its home. The tradition and values that started the company still drive it today. Everyone at Fischer and Wieser believes in producing a quality product that is handcrafted one jar at a time.","Fischer &amp; Wieser Razzpotle Roasted Raspberry Chipotle Sauce, 20-Ounce Bottles (Pack of 6)",54.3
28,28,"Fischer and Wieser Speciality Foods Company, a family-operated business, makes award-winning, gourmet sauces, jams, and jellies, including award-winning sauces such as the Original Roasted Raspberry Chipotle Sauce; Sweet, Sour, and Smokey Mustard Sauce; and Texas 1015 Onion Glaze. Founded by Mark Wieser and Case Fischer in Texas in 1969, the company calls a historic warehouse site its home. The tradition and values that started the company still drive it today. Everyone at Fischer and Wieser believes in producing a quality product that is handcrafted one jar at a time.","Fischer &amp; Wieser Mango Ginger Habanero Sauce, 20-Ounce Bottles (Pack of 6)",42.64
29,29,"Since 1706, Twinings has been at the forefront of the tea trade. Customers in more than 100 countries enjoy Twinings products, and not just the popular traditional favorites: Twinings now includes products such as fruit and herbal infusions, aromatic teas, and iced teas. These fresh flavors reflect a worldwide trend toward a healthier and more varied lifestyle. The new flavors are as successful as the traditional ones, because Twinings prepares them using skills acquired through three centuries of experience. After quenching thirsts for so many generations, no one knows better than Twinings how to deliver a drink that's in perfect condition. Although British-based, and still operating in England, Twinings also has plants in North Carolina and Calcutta, India. Success in the competitive worldwide tea market was confirmed in 1972 (and again in 1977) when Twinings became the first tea company to win a Queen's Award for Export.","Twinings English Afternoon Tea, Tea Bags, 20-Count, 1.41 oz. Boxes (Pack of 6)",26.27
30,30,"Enjoyed for over 90 years! Mallomars were created by Nabisco in 1913 and first sold to a grocer in West Hoboken, NJ. The metropolitan New York City area boasts the most loyal Mallomars fans. More than 70% of all Mallomars sales are generated in the shadow of the Big Apple. Made in Canada.","Mallomars Pure Chocolate Cookies, 8-Ounce Boxes (Pack of 4)",0.0
31,31,"Our Chocolate Brownie Bar is made with fair trade organic, virgin cocoa meeting the highest quality standards on the market. We combine this with California Deglet Noor dates which provide fiber, potassium, and magnesium &#x2013; nutrients that respectively, can help stabilize blood sugar, maintain healthy blood pressure, and build strong bones.","Pure Bar Organic Chocolate Brownie, Gluten Free, Raw, Vegan,  1.7-Ounce Bars (Pack of 12)",23.5
32,32,"Numi's vision is to inspire well-being of mind, body, and spirit through the simple art of tea. Numi elevates the tea experience through quality, creativity, and authenticity. We are grateful to those who contribute to our tea journey, and we hope to have a positive impact on all members of our ""Communitea""--from farmer to packer to our fellow tea drinker. Conscientious of the impact of our actions, we aspire to be environmentally responsible and globally sustainable by using recyclable and biodegradable packaging and sustainable bamboo in our merchandising.The Numi JourneyIn the fall of 1999, brother and sister Ahmed and Reem had a vision-to revive the serenity, creativity, and comfort that is inspired by the simple art of tea. Both artistic souls and world explorers, the two siblings have combined their belief in the transcendental properties of tea with their individual passions for photography, art, and culture. The result of this blend was Numi Tea, a refreshing and innovative selection of teas and teasans that awaken the palate, inspire the soul, and gracefully enhance water's unique potential.The brother and sister duo behind Numi TeaAhmed, the master alchemist behind Numi's blends, discovered the calming simplicity of tea and herbal teasans while living in Prague, Czech Republic, where he co-owned and ran two teahouses. A distinguished photographer, Ahmed used his artistic and intuitive nature as a foundation for his innovative and artisan approach to the blending of teas.Fluent in English, Arabic, French, German and Czech, Ahmed is a citizen of the world; each pot of Numi tea is an amalgamation of his worldly cultural knowledge, his in-depth understanding of teas, and his appreciation for quality.Ahmed's sister Reem has a background that is almost as diverse as the selection of Numi teas. Before the advent of Numi, Reem, a biomedical engineer, moved to Italy to nurture her artistic aspirations. Reem has exhibited her artwork around the world in San Francisco, New York City, Melbourne, and Florence. But you don't need to be a globetrotter to admire her artwork--Reem's original paintings are also exhibited on each one of Numi's packages. Inspired by her brother's photos and by the meditative nature and timeless essence of tea, Reem painted Numi's artwork using oil on small tin plates, with imagery that evokes a slower, more contemplative way of being. Reem believes that tea, like art, has a universal essence and is a portal for self-reflection.What started as a dream in Reem's small Oakland apartment moved to a lovely 25,000 squrare-foot space on the Oakland waterfront and has progressed into an exciting and delicious journey. Since its beginning, Numi has carved a distinct path in the U.S. tea world by introducing exotic teas such as Rooibos (Red Tea), Lemon Myrtle, Honeybush, and Dry Desert Lime, and also by offering full-leaf tea in teabags, without added oils or flavorings. Numi continues to pave the way and set new tea trends, most recently with its creation of the hand-sewn and handcrafted ""Flowering Teas.""",Numi Organic Tea Flowering Gift Set in Handcrafted Mahogany Bamboo Chest: Glass Teapot &amp; 6 Flowering Tea Blossoms,26.99
33,33,"When cheese grows up where does it go? The big city, of course. Sophisticated, bold, confident, and brazen. Comfortable in the penthouse or the subway, this chip is going places. Sometimes we think we've gone just a little bit crazy over this chip thing, but big city flavor'll do that.","Kettle Chips, New York Cheddar, 5-Ounce Bags (Pack of 15)",35.75
34,34,"Only three ingredients in this classic chip: potatoes, oil and sea salt. Why mess with simplicity? The pureness of a whole potato, thinly sliced, cooked to golden perfection, and seasoned with fresh sea salt delivers undeniable flavor and crunch.","Kettle Chips, Sea Salt, 2-Ounce Bags (Pack of 24)",26.63
35,35,Lundberg Wild Blend is a colorful aromatic blend of several brown rices. All the varieties of rice have their nutritious bran and germ layers intact.,"Lundberg Wild Blend, Gourmet Blend of Wild and Whole Grain Brown Rice, Gluten Free, 16-Ounce Bags (Pack of 6) Package May Vary",19.95
36,36,"The Bigelow&reg; Tea StoryBeginning the moment our founder, Ruth Campbell Bigelow created ""Constant Comment""&reg; Tea in her kitchen in 1945, our family has focused on just one thing&#x85;trying to make the finest teas possible. Over the years we have introduced many new flavors as well as concepts in tea. Today we offer a selection of deliciously different blends of teas and green teas, a wide variety of herbal teas and teas flavored with real fruit juice. Today Bigelow Tea is the number one specialty tea company in the United States. And to think it all began with the first legendary black tea flavored with golden orange rind and sweet spice&#x85;""Constant Comment""&reg;Tea.Bigelow takes immense pride in providing the tea drinking community with the best tea at a great value. We only use hand- picked teas, real spices, flavors and herbs. The flavors and blends we have created are second to none. Some of our teas contain up to twenty different ingredients! And because tea is a leaf that can dry out we take steps to protect it. To keep the teas fresh, we seal our tea bags in protective packets. We simply have to protect those delightful flavors. That&#x92;s why a cup of Bigelow Tea is aromatic and delicious; a true indulgence for the senses.","Bigelow Constant Comment Tea, 20-Count Boxes (Pack of 6)",17.64
37,37,"Orchard grown cherries are picked and dried to retain their natural colors and flavors. Traverse Bay Fruit Co. premium dried cherries contains no preservatives or sulfites. Try dried and let you taste buds go wild! Add dried fruit to savory salads or pastas; Glamorize granola and trail mixes; Mix dried fruit into hot and cold cereal; Fold into cookie dough, muffins and scones; Add texture to salsas and chutneys; Add to yeast bread, pretzel or bagel dough; Stir into stuffing or rice blends; Sprinkle on lettuce and fruit salads; Top ice cream or frozen yogurt; Spoon into fruit fillings for pastries or pies.","Traverse Bay Fruit Co. Dried Cherries, 4-Pound Box",27.99
38,38,"YumEarth was born out of our commitment to feed our family a diet rich in delicious healthful foods that are free of yucky chemicals, high fructose corn syrup and dyes. YumEarth tastes much better than mass produced chemical candy because we choose real fruit extracts and plant friendly organic ingredients to sweeten our lives and yours. Good for us. Good for mother Earth. Certified organic. 100% Natural colors. No chemical dyes. 100% Natural flavors. Real fruit extracts. Egg-free. Soy-free. Nut-free. Gluten-free. Wheat-free. Casein-free. Dairy-free. Peanut-free. Mix of Sour Apple Tart, Pomegranate Pucker, Mango Tango, TooBerry Blueberry, Googly Grape, Strawberry Smash, Very Very Cherry, and Wet-Face Watermelon.","YummyEarth Organic Lollipops, Assorted Flavors, 30-Ounce Container",16.99
39,39,"YummyEarth was born out of our commitment to feed our babies, Jonah and Rose, a diet rich in delicious organic foods that are free of yucky chemicals, pesticides and dyes. YummyEarth tastes much better than mass produced chemical candy because we choose real fruit extracts and plant friendly organic ingredients to sweeten our lives and yours. Good for us. Good for mother Earth. Certified organic. 100% Natural colors. No chemical dyes. 100% Natural flavors. Real fruit extracts. 100% Vegan. GMO-free. Allergen free. Egg-free. Soy-free. Nut-free. Gluten-free. Wheat-free. Casein-free. Dairy-free. Flavor assortment may vary. Made in Mexico. Mix of Sour Apple Tart, Pomegranate Pucker, Mango Tango, TooBerry Blueberry, Googly Grape, Strawberry Smash, Very Very Cherry, Wet-Face Watermelon.","YummyEarth Organic Lollipops, Assorted Flavors, 5-Pound Bag",31.99
40,40,"The idea behind Hint is simple: Pure water, nature's original refreshment, accented with natural flavor to make it tasty. Not sweetened, dyed, chemical-ed, vitamin-ed or anything else-ed!&#xA0;Hint is a refreshing and healthy alternative to juice, soda and other sweetened drinks. Great taste without all the junk. Finally: Freedom from the boredom of plain water!&#xA0;Join the movement, and remember: Drink Water, Not Sugar.","Hint Premium Pomegranate Essence Water, 16 Ounce Bottles (Pack of 12)",26.55
41,41,"We started Country Choice in 1995 with the idea of making it easier for people to eat organic. Back then most organic products didn&#x2019;t taste very good. The only choice most people had was choosing between something that tasted good and something that was organic. We felt it was time for someone to give consumers an easy choice. Today, we&#x2019;re every bit as committed to providing great tasting organic food and believe it is a better choice for people and the planet.","Country Choice Organic Oven Toasted Steel Cut Oats, 30-Ounce Canisters (Pack of 6)",32.34
42,42,"The Vita Coco brand launched in 2004 and was initially sold only in health food stores. By 2006, the brand broke through into mainstream groceries and was selling in over 3,000 retail doors nationwide. Today, Vita Coco is now sold in over 5,000 retail doors nationwide.","Vita Coco Coconut Water with Pineapple, 11.1-Ounce Tetra Paks (Pack of 12)",19.99
43,43,,"Bumble Bee Sensations Thai Chili Tuna Kit,  3.6 Ounce Packages (Pack of 12)",33.0
44,44,"When you serve Chef Boyardee to your family, you give them a wholesome, nutritious meal as well.  Because Chef Boyardee is made with premium beef and enriched pasta, it is a good source of protein.  Chef Boyardee has no preservatives.","Chef Boyardee Mini-Bites Micro Ravioli, 7.5-Ounce Microwavable Bowls (Pack of 12)",11.76
45,45,"If you like Grilled Cheese sandwiches, you'll love these baked corn puffs! Made from delicious aged cheddar cheese, then toasted to a perfect crunch.","Snikiddy All Natural Baked Corn Puffs, Grilled Cheese, 4-Ounce Bags (Pack of 12)",43.94
46,46,"Create light and fluffy pancakes and waffles, as well as delicious breads, cakes and muffins and savory entrees with Pamela's baking and pancake mix.  It's also a great substitute for flour.","Pamela's Ultimate Baking and Pancake Mix, 4-Pound Bags (Pack of 3)",53.55
47,47,,"Clif Kid Organic ZFruit Ropes, Strawberry, 18 Count, 12.7 oz",22.43
48,48,"O.N.E.&#8482; is 100% natural coconut water, which is the water inside a young green coconut. It is naturally filtered for nine months through the dense fibers of the coconut creating a nutritious, pure and refreshing isotonic beverage. O.N.E.&#8482; is 100% natural and has five essential electrolytes, more potassium than a banana, no added sugars, no fat, no cholesterol and no preservatives. O.N.E.&#8482; is not the milk that is derived from the meat of the older brown coconuts. O.N.E.&#8482; promotes the sustainability of the Amazon Rainforest. Packaging  &#8211; Tetra Pak.","O.N.E. Coconut Water, 11.2-Ounce Aseptic Containers (Pack of 12)",32.99
49,49,"O.N.E.&#8482; Amazon A&#xE7;ai (ah-sigh-ee) is a delicious and healthy natural beverage made from fresh A&#xE7;ai fruit &#8211; considered one of the most nutritious superfoods - grown naturally (wild crafted) in the middle of the Amazon Rainforest. Our wonderful A&#xE7;ai has more antioxidants than pomegranates and is rich in Omega 3, 6, & 9, as well as Vitamin C & E and Ellagic Acid. O.N.E.&#8482; A&#xE7;ai is accented by a splash of Acerola (Amazon Cherry), a delicious berry with more Vitamin C than an orange. O.N.E.&#8482; Amazon A&#xE7;ai is rich in anthocyanins, an essential antioxidant substance that helps combat premature aging. A&#xE7;ai can contain as much as 30 times more anthocyanins than a glass of red wine.","O.N.E. Drink, Amazon Acai, 11.2-Ounce Aseptic Containers (Pack of 12)",0.0
50,50,,"Kitchens of India Paste for Butter Chicken Curry, 3.5-Ounce Boxes (Pack of 6)",18.8
51,51,"The Puroast story begins while I&#x2019;m sitting on a Venezuelan coffee farm one morning and I&#x2019;m served a cup of coffee by my host. The same fellow who grew, roasted and brewed the beans. The taste was unlike any coffee I had ever had. Savory, rich and very smooth. No bitterness. I assumed this great taste was because I was on a coffee farm, like drinking wine in a vineyard. It turns out the secret to this flavor was how heat was used in roasting. I knew then that I wanted to learn how to create a coffee that is pure to the art of roasting. Puroast Coffee. After a long journey, we found the right flavor and Puroast Coffee was born. So my brother and I start selling Puroast in local stores in California, people loved the taste and then we find out there&#x2019;s a lot more to the story. Mixed in with the compliments about taste, we received comments telling us Puroast Coffee didn&#x2019;t upset customers&#x2019; stomachs or aggravate their heartburn. There were so many of these comments that we decided to find out if there was something different about Puroast which would be a significant benefit. We discovered there was a big difference in Puroast. Not only does our roasting recipe make for a smoother taste, it also greatly reduces the acid in the coffee by more than 70% compared to leading brands. 70% less acid than other coffees! This isn&#x2019;t just me saying this, it&#x2019;s Dr. Shibamoto and scientific research team from the University of California/Davis. Dr. Shibamoto found that in reducing acid levels, our roasting process dramatically increased the amount of antioxidants. And by dramatic I mean by 5 times more than other leading coffees and 7 times more than green tea. 7 times more antioxidants than green tea! You will discover what I did on that Venezuelan coffee farm, along with Puroast Coffee&#x2019;s exquisite flavor, the benefits of lower acid and rich levels of antioxidants will bring you enjoyment like no other coffee you&#x2019;ve ever had.","Puroast Low Acid Coffee Dark French Roast  Ground, 12 oz.  Bag",23.15
